"PRODUCT","SUBPRODUCT","STATE"
"Consumer loan","Vehicle loan","TX"
"Debt collection","Other (phone, health club, etc.)","IA"
"Debt collection","Payday loan","IL"
"Debt collection","Payday loan","TX"
"Bank account or service","Other bank product/service","NY"
"Debt collection","Medical","FL"
"Debt collection","Credit card","NY"
"Debt collection","Other (phone, health club, etc.)","FL"
"Debt collection","Medical","CO"
"Mortgage","Conventional fixed mortgage","WI"
"Debt collection","Medical","FL"
"Mortgage","Conventional fixed mortgage","TX"
"Debt collection","Other (phone, health club, etc.)","GA"
"Debt collection","","IL"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Money transfers","International money transfer","IN"
"Consumer loan","Vehicle lease","KY"
"Debt collection","Mortgage","CO"
"Credit reporting","","NC"
"Credit reporting","","CA"
"Debt collection","","NV"
"Debt collection","Other (phone, health club, etc.)","IL"
"Debt collection","Medical","OH"
"Mortgage","FHA mortgage","SC"
"Credit card","","IL"
"Credit reporting","","TX"
"Credit card","","FL"
"Credit card","","NJ"
"Credit reporting","","FL"
"Bank account or service","Checking account","OK"
"Mortgage","Conventional fixed mortgage","CT"
"Credit reporting","","TX"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Bank account or service","Checking account","NY"
"Credit card","","PA"
"Mortgage","Conventional fixed mortgage","GA"
"Debt collection","Medical","MO"
"Debt collection","Medical","TX"
"Debt collection","","MO"
"Debt collection","Medical","IL"
"Debt collection","Other (phone, health club, etc.)","MA"
"Debt collection","Other (phone, health club, etc.)","FL"
"Credit reporting","","WI"
"Debt collection","","CA"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Credit reporting","","TX"
"Credit reporting","","NY"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Credit reporting","","WI"
"Credit reporting","","CA"
"Mortgage","Conventional fixed mortgage","CA"
"Consumer loan","Vehicle loan","TX"
"Bank account or service","Checking account","NY"
"Bank account or service","Other bank product/service","VA"
"Credit reporting","",""
"Bank account or service","Checking account","WA"
"Credit reporting","","IL"
"Credit reporting","","NC"
"Debt collection","Credit card","MS"
"Credit reporting","","NY"
"Mortgage","Conventional fixed mortgage","MI"
"Debt collection","Credit card","NC"
"Credit reporting","","NC"
"Debt collection","Payday loan","CA"
"Credit reporting","","NJ"
"Credit reporting","","AR"
"Student loan","Non-federal student loan","PA"
"Bank account or service","Checking account","PA"
"Credit reporting","","TX"
"Mortgage","Home equity loan or line of credit","CA"
"Debt collection","","TX"
"Debt collection","Medical","OK"
"Mortgage","Conventional fixed mortgage","FL"
"Credit reporting","","NJ"
"Debt collection","Other (phone, health club, etc.)","GA"
"Credit reporting","","CA"
"Credit reporting","","FL"
"Bank account or service","Other bank product/service","FL"
"Bank account or service","Checking account","NC"
"Debt collection","Federal student loan","NY"
"Debt collection","Payday loan","CO"
"Mortgage","FHA mortgage","MD"
"Debt collection","Medical","WA"
"Credit reporting","","CA"
"Mortgage","Conventional fixed mortgage","VA"
"Credit reporting","","TX"
"Consumer loan","Installment loan","TX"
"Mortgage","Conventional fixed mortgage","RI"
"Debt collection","Medical","MD"
"Mortgage","Conventional fixed mortgage","NY"
"Credit reporting","","NM"
"Mortgage","Conventional fixed mortgage","FL"
"Credit card","","MD"
"Consumer loan","Vehicle loan","MD"
"Credit reporting","","NM"
"Credit reporting","","CA"
"Mortgage","Conventional fixed mortgage","NJ"
"Mortgage","Other mortgage","WI"
"Credit reporting","","FL"
"Debt collection","Medical","SC"
"Credit reporting","","CA"
"Debt collection","Credit card","FL"
"Debt collection","Medical","AK"
"Credit reporting","",""
"Credit reporting","",""
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Debt collection","Other (phone, health club, etc.)","UT"
"Credit reporting","","MS"
"Mortgage","Other mortgage","CA"
"Credit reporting","","GA"
"Bank account or service","Checking account","KY"
"Debt collection","",""
"Credit reporting","","TN"
"Credit reporting","","TX"
"Credit card","","NC"
"Credit card","","CA"
"Debt collection","Medical","IN"
"Credit reporting","","FL"
"Debt collection","","WI"
"Credit reporting","","MS"
"Mortgage","Conventional fixed mortgage","OR"
"Debt collection","Medical","CO"
"Bank account or service","Checking account","NY"
"Credit reporting","","TX"
"Mortgage","Home equity loan or line of credit","TX"
"Credit reporting","","NY"
"Credit reporting","","CA"
"Debt collection","Other (phone, health club, etc.)","IL"
"Credit reporting","","MS"
"Debt collection","Payday loan","WA"
"Debt collection","","TX"
"Credit reporting","","FL"
"Debt collection","Medical","NY"
"Credit reporting","","GA"
"Debt collection","Mortgage","OH"
"Debt collection","Credit card","CA"
"Bank account or service","Checking account","MN"
"Debt collection","Medical","LA"
"Credit reporting","","AL"
"Debt collection","Credit card","WI"
"Debt collection","Other (phone, health club, etc.)","LA"
"Consumer loan","Vehicle loan","MI"
"Credit reporting","","VA"
"Credit reporting","","NM"
"Debt collection","Other (phone, health club, etc.)","NJ"
"Debt collection","Other (phone, health club, etc.)","MN"
"Credit reporting","","CT"
"Bank account or service","Other bank product/service","TX"
"Credit reporting","","CA"
"Credit reporting","","FL"
"Mortgage","Other mortgage","GA"
"Debt collection","Other (phone, health club, etc.)","AZ"
"Credit reporting","","MO"
"Mortgage","Other mortgage","MI"
"Credit reporting","","NY"
"Credit reporting","","WV"
"Credit reporting","","PA"
"Debt collection","","TX"
"Credit reporting","","FL"
"Debt collection","Other (phone, health club, etc.)","OR"
"Credit reporting","","SC"
"Debt collection","Other (phone, health club, etc.)","NJ"
"Bank account or service","Checking account","CA"
"Credit reporting","","CA"
"Credit reporting","","NM"
"Debt collection","Other (phone, health club, etc.)","DE"
"Debt collection","Other (phone, health club, etc.)","IN"
"Consumer loan","Installment loan","CA"
"Bank account or service","Checking account","AZ"
"Debt collection","Medical","FL"
"Credit reporting","","CA"
"Mortgage","Conventional fixed mortgage","GA"
"Credit reporting","","FL"
"Payday loan","","CA"
"Bank account or service","Savings account","VA"
"Bank account or service","Checking account","TX"
"Credit reporting","","MD"
"Credit reporting","","WI"
"Debt collection","Medical","DE"
"Credit reporting","","NC"
"Credit reporting","","WI"
"Credit reporting","","WI"
"Debt collection","Credit card","NC"
"Debt collection","Other (phone, health club, etc.)",""
"Credit reporting","","VA"
"Credit reporting","","IN"
"Credit reporting","","FL"
"Credit reporting","","FL"
"Debt collection","Other (phone, health club, etc.)","GA"
"Credit reporting","","IL"
"Credit reporting","","FL"
"Debt collection","","AZ"
"Debt collection","","CA"
"Debt collection","","TN"
"Credit card","","CA"
"Credit reporting","","OR"
"Bank account or service","Other bank product/service","MA"
"Payday loan","","OH"
"Credit card","","NY"
"Debt collection","Credit card","PA"
"Debt collection","Medical","KY"
"Credit reporting","","PA"
"Debt collection","Other (phone, health club, etc.)","TX"
"Mortgage","Conventional fixed mortgage","NY"
"Mortgage","Conventional fixed mortgage","OH"
"Mortgage","FHA mortgage","PA"
"Debt collection","Other (phone, health club, etc.)","LA"
"Credit reporting","","OR"
"Credit reporting","","NY"
"Bank account or service","Checking account","NY"
"Debt collection","","TX"
"Credit reporting","","MD"
"Debt collection","Auto","FL"
"Credit reporting","","MO"
"Credit card","","NC"
"Credit reporting","","NC"
"Debt collection","","CA"
"Debt collection","Other (phone, health club, etc.)","WA"
"Credit reporting","","ID"
"Credit reporting","","AK"
"Consumer loan","Vehicle loan","VA"
"Debt collection","Other (phone, health club, etc.)","MO"
"Debt collection","Other (phone, health club, etc.)","CA"
"Debt collection","Credit card","NJ"
"Debt collection","","OK"
"Credit reporting","","TX"
"Debt collection","Auto","FL"
"Credit card","","PA"
"Credit reporting","","TX"
"Credit card","","NC"
"Mortgage","Conventional fixed mortgage","FL"
"Debt collection","","TX"
"Credit reporting","","TX"
"Mortgage","Conventional fixed mortgage","FL"
"Debt collection","Other (phone, health club, etc.)","CA"
"Debt collection","","IL"
"Credit reporting","","WA"
"Debt collection","","IL"
"Student loan","Non-federal student loan","MI"
"Mortgage","FHA mortgage","LA"
"Payday loan","","IL"
"Credit reporting","","VA"
"Debt collection","Other (phone, health club, etc.)","CA"
"Debt collection","","OH"
"Credit reporting","","NC"
"Credit card","","FL"
"Credit reporting","","FL"
"Credit card","","FL"
"Credit reporting","","MI"
"Credit reporting","","MA"
"Credit reporting","","OR"
"Consumer loan","Vehicle loan","CO"
"Credit card","","CA"
"Debt collection","","MI"
"Credit card","","MD"
"Debt collection","Credit card","TX"
"Credit reporting","","NC"
"Credit reporting","","NV"
"Credit reporting","","MN"
"Bank account or service","Checking account","NY"
"Credit reporting","","AZ"
"Debt collection","Other (phone, health club, etc.)","LA"
"Credit reporting","","IL"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Debt collection","","FL"
"Credit card","","TX"
"Credit card","","OH"
"Consumer loan","Vehicle lease","FL"
"Bank account or service","Checking account","MA"
"Credit reporting","","FL"
"Debt collection","Medical","NE"
"Debt collection","","OK"
"Debt collection","Credit card","CA"
"Debt collection","Payday loan","MD"
"Debt collection","Other (phone, health club, etc.)","CA"
"Debt collection","","FL"
"Debt collection","Other (phone, health club, etc.)","MI"
"Debt collection","Medical","FL"
"Debt collection","Other (phone, health club, etc.)","MT"
"Mortgage","VA mortgage","VA"
"Credit reporting","","OR"
"Student loan","Non-federal student loan","IL"
"Debt collection","Other (phone, health club, etc.)","CA"
"Credit reporting","","NV"
"Credit card","","NV"
"Debt collection","Payday loan","CA"
"Bank account or service","Savings account","FL"
"Consumer loan","Vehicle loan","NJ"
"Credit reporting","","OR"
"Credit card","","CA"
"Debt collection","Credit card","NJ"
"Consumer loan","Vehicle loan","IL"
"Debt collection","","FL"
"Credit reporting","","SC"
"Bank account or service","Other bank product/service","MI"
"Mortgage","Conventional fixed mortgage","CA"
"Credit reporting","","LA"
"Credit card","","NY"
"Credit reporting","","SC"
"Credit reporting","","CA"
"Mortgage","Conventional fixed mortgage","CA"
"Bank account or service","Other bank product/service","OH"
"Payday loan","","RI"
"Bank account or service","Checking account","VA"
"Credit card","","TX"
"Mortgage","FHA mortgage","GA"
"Debt collection","","TX"
"Credit reporting","","FL"
"Money transfers","International money transfer","CA"
"Credit reporting","","SC"
"Credit card","","CO"
"Credit reporting","","NJ"
"Mortgage","Conventional fixed mortgage","NC"
"Credit reporting","","CA"
"Credit reporting","","FL"
"Debt collection","","MN"
"Debt collection","Medical","SC"
"Credit reporting","","SC"
"Debt collection","Credit card","NE"
"Credit reporting","","OR"
"Student loan","Non-federal student loan","CA"
"Credit reporting","","CA"
"Credit reporting","","WA"
"Credit reporting","","SC"
"Debt collection","Auto","FL"
"Mortgage","FHA mortgage","OH"
"Bank account or service","Savings account","CO"
"Mortgage","Conventional adjustable mortgage (ARM)","PA"
"Credit reporting","","CA"
"Debt collection","Credit card","NC"
"Mortgage","Other mortgage","NY"
"Credit reporting","","AZ"
"Credit reporting","","NY"
"Debt collection","Payday loan","CO"
"Debt collection","Mortgage","FL"
"Credit reporting","","TX"
"Credit reporting","","NC"
"Credit reporting","","NC"
"Credit reporting","","AZ"
"Credit reporting","","AZ"
"Credit reporting","","SC"
"Credit reporting","","IL"
"Credit reporting","","SC"
"Credit reporting","","TX"
"Consumer loan","Vehicle lease","PA"
"Credit reporting","","IL"
"Debt collection","Credit card","PA"
"Debt collection","Other (phone, health club, etc.)","NC"
"Credit reporting","","CA"
"Credit reporting","","NV"
"Mortgage","Other mortgage","CA"
"Credit reporting","","GA"
"Credit reporting","","CA"
"Credit reporting","",""
"Credit reporting","","WA"
"Mortgage","Other mortgage","CA"
"Credit reporting","","IN"
"Consumer loan","Vehicle lease","NJ"
"Credit reporting","","GA"
"Consumer loan","Vehicle loan","AL"
"Credit reporting","",""
"Credit reporting","","CA"
"Debt collection","Other (phone, health club, etc.)","MA"
"Credit reporting","","MI"
"Bank account or service","Savings account","FL"
"Mortgage","Conventional fixed mortgage","CO"
"Credit reporting","","NJ"
"Mortgage","FHA mortgage","CO"
"Consumer loan","Installment loan","NC"
"Credit reporting","","SC"
"Credit reporting","","IL"
"Credit reporting","","TX"
"Mortgage","Conventional fixed mortgage","TX"
"Mortgage","Conventional fixed mortgage","SC"
"Mortgage","Conventional fixed mortgage","CA"
"Student loan","Non-federal student loan","MD"
"Mortgage","Other mortgage","WV"
"Debt collection","Medical","FL"
"Mortgage","Conventional fixed mortgage","CA"
"Credit reporting","","CA"
"Credit reporting","","CO"
"Credit card","","CA"
"Bank account or service","Checking account","NJ"
"Debt collection","Other (phone, health club, etc.)","NY"
"Debt collection","Other (phone, health club, etc.)","NJ"
"Credit card","","OH"
"Consumer loan","Vehicle loan","GA"
"Debt collection","Other (phone, health club, etc.)","TN"
"Debt collection","","AZ"
"Credit reporting","","MS"
"Bank account or service","Checking account","MA"
"Mortgage","Conventional adjustable mortgage (ARM)","AZ"
"Debt collection","Other (phone, health club, etc.)","CA"
"Mortgage","Other mortgage","FL"
"Credit reporting","","SC"
"Credit reporting","","NY"
"Consumer loan","Vehicle lease","UT"
"Credit reporting","","CA"
"Credit reporting","","WA"
"Credit reporting","","CA"
"Credit card","","MD"
"Consumer loan","Installment loan","MS"
"Mortgage","Conventional fixed mortgage","OH"
"Debt collection","Other (phone, health club, etc.)","TX"
"Payday loan","","TX"
"Credit card","","OH"
"Credit reporting","","WA"
"Debt collection","Credit card","CA"
"Debt collection","","TX"
"Credit card","","KY"
"Credit reporting","","LA"
"Debt collection","Medical","FL"
"Credit card","","NC"
"Credit reporting","","FL"
"Credit reporting","","FL"
"Mortgage","Conventional fixed mortgage","CA"
"Mortgage","FHA mortgage","PA"
"Debt collection","Other (phone, health club, etc.)","PA"
"Credit reporting","","MD"
"Mortgage","Conventional fixed mortgage","LA"
"Credit reporting","","CA"
"Debt collection","Medical","WA"
"Debt collection","Medical","NY"
"Bank account or service","Other bank product/service","MH"
"Consumer loan","Vehicle loan","TX"
"Credit reporting","","IL"
"Credit reporting","","MD"
"Credit reporting","","LA"
"Credit reporting","","IL"
"Credit reporting","","CA"
"Mortgage","Conventional fixed mortgage","MO"
"Debt collection","Non-federal student loan","WA"
"Credit reporting","","FL"
"Credit reporting","","CA"
"Credit reporting","","WA"
"Debt collection","Other (phone, health club, etc.)","CA"
"Debt collection","Other (phone, health club, etc.)","PA"
"Mortgage","Conventional fixed mortgage","CA"
"Student loan","Non-federal student loan","OH"
"Student loan","Non-federal student loan","WY"
"Debt collection","Non-federal student loan","WA"
"Credit reporting","","OH"
"Student loan","Non-federal student loan","MI"
"Credit reporting","","SC"
"Credit reporting","","CA"
"Debt collection","Mortgage","CA"
"Credit reporting","","CA"
"Mortgage","Conventional fixed mortgage","CA"
"Credit reporting","","GA"
"Credit reporting","","CA"
"Credit reporting","","LA"
"Credit reporting","","SC"
"Consumer loan","Vehicle loan","TX"
"Bank account or service","Checking account","TX"
"Credit card","","OH"
"Credit reporting","","CA"
"Debt collection","Credit card","OH"
"Student loan","Non-federal student loan","IA"
"Debt collection","Other (phone, health club, etc.)","CA"
"Credit card","","FL"
"Credit reporting","","FL"
"Credit reporting","","OH"
"Credit reporting","","NY"
"Credit reporting","","IL"
"Credit reporting","","CA"
"Credit card","","NJ"
"Credit card","","WI"
"Credit reporting","","DC"
"Mortgage","Conventional fixed mortgage","LA"
"Credit card","","CA"
"Student loan","Non-federal student loan","MT"
"Credit reporting","","CA"
"Student loan","Non-federal student loan","OH"
"Credit card","","CA"
"Credit reporting","","AL"
"Credit reporting","","MA"
"Bank account or service","Checking account","TX"
"Debt collection","","DC"
"Credit card","","NH"
"Debt collection","","NM"
"Debt collection","Medical","AZ"
"Credit card","","PA"
"Credit reporting","","OR"
"Credit reporting","","LA"
"Credit reporting","","NY"
"Mortgage","Conventional fixed mortgage","CA"
"Credit reporting","","CA"
"Credit reporting","","KS"
"Credit reporting","","NY"
"Debt collection","Medical","CA"
"Bank account or service","Other bank product/service","NC"
"Bank account or service","Checking account","OH"
"Credit card","","FL"
"Consumer loan","Installment loan","NC"
"Mortgage","Home equity loan or line of credit","CA"
"Debt collection","Medical","MD"
"Debt collection","","WV"
"Credit reporting","","IL"
"Consumer loan","Vehicle loan","NC"
"Credit card","","PA"
"Debt collection","Medical","GA"
"Credit reporting","","CA"
"Debt collection","Payday loan","WI"
"Credit reporting","","CA"
"Credit reporting","","NM"
"Credit reporting","","CA"
"Credit reporting","","MI"
"Debt collection","Credit card","FL"
"Credit card","","IN"
"Credit card","","TX"
"Debt collection","Credit card","MN"
"Debt collection","Medical","NJ"
"Debt collection","Medical","FL"
"Bank account or service","Checking account","NY"
"Debt collection","Medical","FL"
"Debt collection","Auto","FL"
"Debt collection","Medical","NJ"
"Credit reporting","","CA"
"Credit card","","TX"
"Credit reporting","","CA"
"Credit reporting","","IL"
"Mortgage","Other mortgage","TX"
"Credit reporting","","MI"
"Debt collection","Federal student loan","WV"
"Debt collection","Credit card","CA"
"Credit reporting","","OR"
"Credit reporting","","NY"
"Bank account or service","Checking account","OR"
"Credit card","","FL"
"Consumer loan","Vehicle loan","PA"
"Credit reporting","","MI"
"Consumer loan","Installment loan","TN"
"Credit reporting","","MI"
"Credit reporting","","NJ"
"Credit card","","CO"
"Mortgage","Other mortgage","FL"
"Bank account or service","Other bank product/service","CA"
"Mortgage","Other mortgage","WA"
"Credit card","","AL"
"Credit reporting","","TX"
"Credit reporting","","MA"
"Credit reporting","","VA"
"Debt collection","","VA"
"Debt collection","","MI"
"Mortgage","Conventional fixed mortgage","VA"
"Debt collection","Other (phone, health club, etc.)","CA"
"Credit card","","CO"
"Credit reporting","","CA"
"Bank account or service","Savings account","PA"
"Credit reporting","",""
"Credit card","","MI"
"Debt collection","Payday loan","MD"
"Credit reporting","","CO"
"Mortgage","Other mortgage","CA"
"Debt collection","","WV"
"Payday loan","","IL"
"Credit card","","CA"
"Credit reporting","",""
"Credit card","","CO"
"Credit reporting","",""
"Credit reporting","",""
"Credit reporting","","MA"
"Credit card","","FL"
"Mortgage","Conventional fixed mortgage","VA"
"Debt collection","Other (phone, health club, etc.)","KS"
"Credit reporting","","NM"
"Credit reporting","","GA"
"Credit reporting","","AK"
"Credit card","","DC"
"Debt collection","Other (phone, health club, etc.)","CA"
"Mortgage","Conventional fixed mortgage","CO"
"Credit reporting","","VA"
"Debt collection","Auto","GA"
"Credit reporting","","GA"
"Credit reporting","","NC"
"Bank account or service","Other bank product/service","CO"
"Credit reporting","","NC"
"Debt collection","","OH"
"Bank account or service","Checking account","GA"
"Credit reporting","","MI"
"Debt collection","Other (phone, health club, etc.)","TX"
"Debt collection","Credit card","CT"
"Debt collection","Credit card","IL"
"Student loan","Non-federal student loan","IN"
"Credit reporting","",""
"Credit reporting","",""
"Credit reporting","",""
"Credit reporting","","VA"
"Credit reporting","",""
"Mortgage","Conventional fixed mortgage","CA"
"Debt collection","Medical","CO"
"Credit reporting","","GA"
"Debt collection","Medical","WA"
"Credit reporting","","FL"
"Credit reporting","","TX"
"Credit card","","OH"
"Bank account or service","Checking account","FL"
"Bank account or service","Other bank product/service","CA"
"Credit reporting","","TX"
"Mortgage","Home equity loan or line of credit","FL"
"Credit reporting","","CA"
"Credit reporting","","NY"
"Payday loan","","IN"
"Credit reporting","",""
"Debt collection","Other (phone, health club, etc.)","CA"
"Credit reporting","","GA"
"Debt collection","Other (phone, health club, etc.)","WA"
"Consumer loan","Vehicle loan","MI"
"Debt collection","Credit card","IL"
"Debt collection","Credit card","SC"
"Debt collection","","NJ"
"Debt collection","","NJ"
"Mortgage","Reverse mortgage","CA"
"Credit reporting","","GA"
"Credit reporting","","NM"
"Mortgage","Conventional fixed mortgage","FL"
"Credit reporting","","TX"
"Mortgage","FHA mortgage","VA"
"Bank account or service","Checking account","MA"
"Debt collection","","CA"
"Bank account or service","Checking account","CA"
"Bank account or service","(CD) Certificate of deposit","NJ"
"Debt collection","","KY"
"Debt collection","","CA"
"Credit reporting","","DC"
"Bank account or service","Checking account","FL"
"Credit reporting","","OH"
"Debt collection","Other (phone, health club, etc.)","FL"
"Debt collection","Other (phone, health club, etc.)","NC"
"Credit reporting","","VA"
"Mortgage","Other mortgage","NY"
"Mortgage","Other mortgage","FL"
"Bank account or service","Checking account","FL"
"Debt collection","","HI"
"Credit card","","MD"
"Credit reporting","","NY"
"Credit reporting","","TX"
"Credit reporting","","CO"
"Mortgage","Conventional fixed mortgage","PA"
"Debt collection","Medical","NY"
"Mortgage","Home equity loan or line of credit","MA"
"Mortgage","FHA mortgage","LA"
"Mortgage","Other mortgage","OH"
"Credit reporting","","FL"
"Debt collection","","CA"
"Debt collection","Other (phone, health club, etc.)","IL"
"Credit reporting","","VA"
"Credit card","","NY"
"Mortgage","FHA mortgage","GA"
"Credit reporting","","VA"
"Debt collection","","CA"
"Credit reporting","","NY"
"Debt collection","Medical","WA"
"Mortgage","Conventional fixed mortgage","NM"
"Debt collection","","CA"
"Credit reporting","","PA"
"Debt collection","","KY"
